title,create_year,number_of_acts,genres,settings,time_and_place,cast_size,orchestra_size,dancing,casting_notes,tags,ideal_for,synopsis,cluster
& juliet,2019,2,"Comedy, Romance",Unit/Single Set,"Verona, Paris",medium,Medium,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult, mature adult, late teen characters",shakespeare;contemporary;reimagining;feminism;independence;friendship;love;what if;pop;jukebox musical;freedom;spirited;diverse casting;diversity;marriage;tony nominee,"Diverse Cast, Professional Theatre, Regional Theatre","It’s Romeo and Juliet … but not as we know it! & Juliet asks the important question: what if Juliet chose not to kill herself, deciding instead to live her life in her own way? We follow William Shakespeare and his wife, Anne, as they argue and rewrite one of his most famous tragedies. In this tale, Juliet leaves her past behind to travel to Paris with her nurse Angelique and new friends May and April (aka Anne, who has written herself into the story). There they discover Lance (Angelique’s former lover) and his son Francois, who is looking to shake off his father’s expectations and forge his own life. With Juliet’s own parents trying to send her to a convent, are Juliet and Francois the perfect match for each other? While Shakespeare and Anne argue over the course of Juliet’s destiny, Francois discovers his feelings for May and Romeo returns to declare his love for Juliet. But who will Juliet finally choose? Or, does she need to choose at all?! 
Full of songs by the hugely successful Swedish pop songwriter Max Martin, & Juliet is a fun jukebox musical that celebrates love, friendship, and taking charge of one’s own destiny.",6
110 in the shade,1963,2,"Drama, Comedy, Romance",,"early 1900s, a small western town",large,,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes adult, late teen, young adult, mature adult, child characters",love;family;small town;large ensemble;movie adaptation;play adaptation;romance;transformation;dreams;rain,,"Based on the hit play and movie The Rainmaker, 110 in the Shade focuses on one unmarried woman named Lizzie living in a small western town besieged by a long drought. Lizzie is dealing with another type of drought: her love life. Intelligent yet plain, she is worried that she will soon become an old maid with no one to love her. When a charismatic man named Starbuck arrives and claims the ability to make rain, Lizzie believes he is a con man with no abilities whatsoever. Little does she know that this man will change her life forever. A beautiful musical in the vein of Rodgers and Hammerstein, 110 in the Shade centers on Lizzie’s quest for self-acceptance and her choice between two suitors: the rainmaker Starbuck and the divorced Sheriff File.",0
13 (thirteen),2007,1,Comedy,Simple/No Set,"appleton, indiana, the present",medium,Rock Combo,Optional,"Mostly male cast
                                                                                                                            
                                            Includes early teen, child, late teen, young adult, adult, mature adult characters",teens;school;bullying;friendship;betrayal;jealousy;first kiss;middle school;leading man;leading lady;leading female;star vehicle (male);star vehicle (female);jewish;cliques,"Community Theatre, Diverse Cast, Ensemble Cast, Middle School, High School, Professional Theatre, Regional Theatre, Theatre For Young Audiences (TYA)","Evan Goldman is about to turn thirteen, and he can’t wait.  His life seems full of possibilities -- that is, until his parents get divorced, and he is forced to move with his mom from big-city New York to podunk Appleton, Indiana. If Evan can’t get the coolest kids to come to his bar mitzvah, how is he going to survive the school year, not to mention, the rest of his life? As Evan navigates the world of cool kids and nerds, jocks and cheerleaders, first kisses and heartbreak, he comes to understand “What it Means to Be a Friend.” With a bright, catchy pop score from Jason Robert Brown, equal doses of humor and pathos, and a cast of wildly talented teens,  13 is irresistible to grown ups and almost-grown ups alike.",0
1776,1969,1,"Drama, Comedy, Historical/Biographical","Period, Multiple Settings","summer, 1776, philadelphia, pennsylvania",large,Large,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes adult, mature adult, young adult, late teen, early teen characters",1776;revolutionary war;revolution;independence;history;politics;historical;drama;tony award;star vehicle (male);strong ensemble;tony award best musical;tony nominee,"Community Theatre, High School, Large Cast, Mostly Male Cast, Professional Theatre, Regional Theatre","It is a long hot summer in Philadelphia, and the Continental Congress is an exhausted, annoyed, quarrelsome collection of men, at each other’s throats over the burning question of independence from Great Britain. John Adams, the passionate crusader for rebellion, races against time: if the congress does not agree to throw off the yoke of tyranny, General Washington’s painfully outnumbered army will have no ideal for which to fight. But Adams is obnoxious and disliked -- no one will listen to his arguments. They might have a chance if Thomas Jefferson, that silver wordsmith, would write a Declaration -- but Jefferson, frustrated by his long absence from lovely wife Martha, is in no mood to be creative. And when it comes down to a final decision, the course of history hangs on whether sycophantic Judge James Wilson can remain as anonymous as possible with his vote….. Under these conditions, how will America ever achieve Independence? Peter Stone and Sherman Edwards’ 1776 is a brilliant imagining of American history, a grand tale which manages to feel both intimate and epic at once, bringing humor and humanity to the account of twenty men, three months, and one incredible argument, in which the fate of nations is decided. The score features such famous tunes as the romantic “He Plays the Violin,” the comedic “The Lees of Old Virginia,” and that plaintive memorial to young patriots, “Momma, Look Sharp.”",0
the 1940s radio hour,1979,2,Comedy,"Period, Unit/Single Set","A studio in WOV Radio, New York City, December, 1942",large,Large,Some Dance,"Mostly male cast
                                                                                                                            
                                            Includes mature adult, adult, young adult, late teen characters",1940s;new york city;jazz;big band;radio;radio presenter;chaos;holidays;christmas;swing;manager;producer;singers,"College/University, Community Theatre, Regional Theatre","Welcome to the chaotic world of New York radio station WOV! It’s the final broadcast of the Mutual Manhattan Variety Cavalcade, a show for American soldiers serving overseas during World War Two. Harassed manager Clifton A. Feddington tries to keep his performers in order and get through the broadcast without too many catastrophes. However, that is easier said than done! With a drunken, Sinatra-esque lead singer, a delivery boy with theatrical aspirations, and a talented trumpeter preparing to leave New York’s big band scene and fight overseas, it’s a challenge just to get to the end of the show. Full of big band classics, jitterbugging, and old-fashioned, live sound effects, The 1940s Radio Hour takes a swinging trip to a bygone era, bringing the audience along for the ride!",0
the 25th annual putnam county spelling bee,2005,1,Comedy,Unit/Single Set,"a middle school gymnasium, putnam county, ny, present",large,Small,Musical Staging,"Mostly male cast
                                                                                                                            
                                            Includes young adult, adult characters",school;kids;spelling;parents;dreams;learning;competition;gymnasium;middle school;tony nominee,"College/University, Community Theatre, Diverse Cast, Ensemble Cast, Professional Theatre, Regional Theatre, Small Cast","An eclectic group of sixth-graders arrives at the 25th Annual Putnam County Spelling Bee, each eager to win for very different reasons. Sweet and shy Olive brings only her best friend (the dictionary) with her to the bee; bold and hyperallergic speller William Barfee uses his “magic foot” to propel him to greatness; former champion Chip is struggling with his burgeoning puberty; easily distracted Leaf is unconvinced that he’s smart enough to be a challenger; overachiever Marcy is disappointed by her consistent success; and politically aware Logainne Schwartzandgrubenierre only wants to impress her gay dads. In hilarious, touching, and catchy songs, each speller reveals his/her hopes, struggles, and passions as they make their way through the competition. With an engaging, tuneful score by William Finn and a sweet, funny book by Rachel Sheinkin, The 25th Annual Putnam County Spelling Bee  causes audiences to fall in love, both with the show itself and its “perspicacious,” “jocular,” and “effervescent” spellers.",0
42nd street,1980,2,Comedy,"Multiple Settings, Spectacle","new york city, 1933",large,Medium,Heavy,"Mostly female cast
                                                                                    
                                            Includes young adult, adult, mature adult characters",mt standard;show business;broadway;small-town girl;diva;new york city;film-to-stage;large cast;triple threat;tap dancer;ensemble numbers;junior version;michael stewart;mark bramble;harry warren;al dubin;tony award best musical;tony award;tony nominee;olivier award,"College/University, Community Theatre, Diverse Cast, High School, Large Cast, Professional Theatre, Regional Theatre, Star Vehicle Female, Star Vehicle Male","One of show business’s most classic and beloved tales, 42nd Street tells the story of Peggy Sawyer, a talented young performer with stars in her eyes who gets her big break on Broadway. 
Peggy arrives in New York City from her hometown of Allentown, Pennsylvania, armed with her tap shoes and big dreams. Peggy’s talent catches the eye of legendary Broadway director Julian Marsh, who gives her a spot in the chorus of Pretty Lady, his newest show. Pretty Lady stars Dorothy Brock, the classic Broadway diva, who takes an instant dislike to the new girl in the cast. When Dorothy is injured during the show’s previews, Pretty Lady looks like it will have to close, unless a new girl talented enough to lead the show can be found — someone like Peggy Sawyer!
Peggy’s rise from showgirl to star is the stuff of show business dreams. 42nd Street is full of crowd-pleasing tap dances, popular musical theatre standards, and show-stopping ensemble production numbers.",0
42nd street young performers edition,2017,1,Comedy,Spectacle,"New York City, 1933",medium,Recording,Heavy,"Mostly female cast
                                                                                    
                                            Includes child, early teen, late teen characters",mt standard;show business;Broadway;small town girl;small town girl in the big city;diva;New York City;film-to-stage;large cast;triple threat;tap dancer;dancer;dancers;ensemble numbers;junior version,"Community Theatre, Ensemble Cast, Elementary School, Large Cast, Middle School, Star Vehicle Female, Theatre For Young Audiences (TYA)","One of show business's most classic and beloved tales, 42nd Street tells the story of Peggy Sawyer, a talented young performer with stars in her eyes who gets her big break on Broadway.
Peggy arrives in New York City from her hometown of Allentown, Pennsylvania, armed with her tap shoes and big dreams. Peggy’s talent catches the eye of legendary Broadway director Julian Marsh, who gives her a spot in the chorus of Pretty Lady, his newest show. Pretty Lady stars Dorothy Brock, the classic Broadway diva, who takes an instant dislike to the new girl in the cast. When Dorothy is injured during the show’s previews, Pretty Lady looks like it will have to close, unless a new girl talented enough to lead the show can be found — someone like Peggy Sawyer!
Peggy’s rise from showgirl to star is the stuff of show business dreams. 42nd Street is full of crowd-pleasing tap dances, popular musical theatre standards, and show-stopping ensemble production numbers.",0
57th national mathlete sum-it,2017,1,Comedy,Simple/No Set,"Present Day, Waukesha, WI , Poughkeepsie, NY",small,Small,,"Mostly female cast
                                                                                    
                                            Includes late teen, adult, young adult characters",high school;math;competition;small cast;teenagers;teen role;mostly female cast;new work;pressure;anxiety;rivalry,"High School, Mostly Female Cast, Middle School","The almost all-girl high school math team from Waukesha, Wisconsin, has lost – and then won – the regional math competition. They are off to compete in the National Math SUM-IT. These smart and funny whiz kids must unite to solve difficult math problems without getting distracted by teen drama and pressures.
Always witty, sometimes uproarious, this is the story of girls becoming women – conquering anxiety and rivalry, finding a way to affirm themselves as individuals and as team-members, learning to win at math… and at life!",0
"70, girls, 70",1971,2,Comedy,,"new york city, the cornucopia tea room, the broadhurst theatre, ida's room, sadie's fur salon, lobby of sussex arms, arctic cold storage co, the coliseum, a chapel",medium,,,"Mostly female cast
                                                                                    
                                            Includes mature adult, elderly, adult characters",john kander;kander and ebb;fred ebb,,"The show concerns a group of senior citizens living on New York's Upper West Side who learn that the long-term hotel they live in will be sold off to developers - making the seniors homeless. To save the hotel, the seniors form a ring of unlikely thieves, wreaking havoc in stores from Sadies' Second Hand Furs to Bloomingdales. In the process, they regain their zest for life. The seniors proceed to use their ill-gotten gains to spruce up their digs and to provide safe harbor for other poor seniors. The musical is based on the 1960 British film 'Make Mine Mink' and its antecedent, Peter Coke's 1958 London stage comedy, Breath of Spring.",0
